,location,size,total_sqft,bath,price,bhk
0,Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2
1,Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4
2,Uttarahalli,3 BHK,1440.0,2.0,62.0,3
3,Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3
4,Kothanur,2 BHK,1200.0,2.0,51.0,2
5,Whitefield,2 BHK,1170.0,2.0,38.0,2
6,Old Airport Road,4 BHK,2732.0,4.0,204.0,4
7,Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4
8,Marathahalli,3 BHK,1310.0,3.0,63.25,3
9,Gandhi Bazar,6 Bedroom,1020.0,6.0,370.0,6
10,Whitefield,3 BHK,1800.0,2.0,70.0,3
11,Whitefield,4 Bedroom,2785.0,5.0,295.0,4
12,7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2
13,Gottigere,2 BHK,1100.0,2.0,40.0,2
14,Sarjapur,3 Bedroom,2250.0,3.0,148.0,3
15,Mysore Road,2 BHK,1175.0,2.0,73.5,2
16,Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3
17,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3
18,Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3
19,Manayata Tech Park,2 BHK,1100.0,2.0,48.0,2
20,Kengeri,1 BHK,600.0,1.0,15.0,1
21,Binny Pete,3 BHK,1755.0,3.0,122.0,3
22,Thanisandra,4 Bedroom,2800.0,5.0,380.0,4
23,Bellandur,3 BHK,1767.0,3.0,103.0,3
24, Thanisandra,1 RK,510.0,1.0,25.25,1
25,Mangammanapalya,3 BHK,1250.0,3.0,56.0,3
26,Electronic City,2 BHK,660.0,1.0,23.1,2
27,Whitefield,3 BHK,1610.0,3.0,81.0,3
28,Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2
29,Electronic City,3 BHK,1025.0,2.0,47.0,3
30,Yelahanka,4 BHK,2475.0,4.0,186.0,4
31,Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3
32,Hebbal,3 BHK,1760.0,2.0,123.0,3
33,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3
34,Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3
35,Kanakpura Road,2 BHK,700.0,2.0,36.0,2
36,Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2
37,Kundalahalli,3 BHK,1724.0,3.0,125.0,3
38,Chikkalasandra,3 BHK,1290.0,2.0,56.12,3
39,Uttarahalli,2 BHK,1143.0,2.0,45.0,2
40,Murugeshpalya,2 BHK,1296.0,2.0,81.0,2
41,Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3
42,Ganga Nagar,1 BHK,600.0,1.0,38.0,1
43,Yelahanka,1 Bedroom,660.0,1.0,48.0,1
44,Kanakpura Road,2 BHK,1330.74,2.0,91.79,2
45,HSR Layout,8 Bedroom,600.0,9.0,200.0,8
46,Doddathoguru,2 BHK,970.0,2.0,33.0,2
47,Whitefield,2 BHK,1459.0,2.0,94.82,2
48,KR Puram,2 Bedroom,800.0,1.0,130.0,2
49,Himagiri Meadows,2 BHK,869.0,2.0,36.0,2
50,Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2
51,Bhoganhalli,3 BHK,1670.0,3.0,99.0,3
52,Whitefield,3 BHK,2010.0,3.0,91.0,3
53,Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2
54,Yelahanka,3 BHK,1600.0,2.0,75.0,3
55,Begur Road,2 BHK,1200.0,2.0,44.0,2
57,Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,2
58,Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6
59,Govindaraja Nagar Ward,2 BHK,840.0,2.0,45.0,2
60,Tharabanahalli,3 Bedroom,4395.0,3.0,240.0,3
61,Ganga Nagar,2 BHK,845.0,2.0,55.0,2
62,Whitefield,4 Bedroom,5700.0,5.0,650.0,4
63,Varthur,2 BHK,1160.0,2.0,44.0,2
64,Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8
65,Doddathoguru,2 BHK,1100.0,2.0,62.0,2
66,Gunjur,2 BHK,1140.0,2.0,43.0,2
67,Marathahalli,2 BHK,1220.0,2.0,57.0,2
68,Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8
69,Kanakpura Road,2 BHK,1005.0,2.0,36.68,2
70,Double Road,3 Bedroom,500.0,3.0,100.0,3
71,Begur Road,2 BHK,1358.0,2.0,80.58,2
72,Hegde Nagar,3 BHK,1569.0,3.0,101.0,3
73,Haralur Road,2 BHK,1240.0,2.0,70.0,2
74,Hennur Road,3 BHK,2089.0,3.0,140.0,3
75,Kothannur,2 BHK,1206.0,2.0,48.23,2
76,Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2
77,Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3
78,Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2
79,ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6
80,Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3
82,Yelahanka,2 BHK,1326.0,2.0,78.0,2
83,Garudachar Palya,3 BHK,1325.0,2.0,60.8,3
84,EPIP Zone,3 BHK,1499.0,5.0,102.0,3
85,Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6
86,Kanakpura Road,3 BHK,1665.0,3.0,88.0,3
87,Dasanapura,2 BHK,708.0,2.0,37.0,2
88,Kasavanhalli,2 BHK,1060.0,2.0,58.06,2
89,Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6
90,Sanjay nagar,2 BHK,1000.0,2.0,70.0,2
91,Electronic City,2 BHK,1000.0,2.0,28.88,2
92, Mysore Highway,3 BHK,1450.0,2.0,70.0,3
93,ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4
94,Thanisandra,2 BHK,1296.0,2.0,80.0,2
95,Domlur,3 BHK,1540.0,3.0,90.0,3
96,Kengeri,4 Bedroom,2894.0,4.0,245.0,4
97,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3
98,Devasthanagalu,2 BHK,1200.0,2.0,65.0,2
99,T Dasarahalli,3 Bedroom,1200.0,3.0,90.0,3
100,Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3
101,Chandapura,2 BHK,650.0,1.0,17.0,2
102,Kothanur,3 Bedroom,2400.0,2.0,150.0,3
103,Green View Layout,2 BHK,1007.0,2.0,43.0,2
104,Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2
105,Peenya,2 BHK,966.0,2.0,49.9,2
106,Nagarbhavi,3 BHK,1630.0,2.0,98.0,3
107,Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3
108,Jalahalli West,2 BHK,782.0,2.0,55.68,2
109,Devanahalli,2 BHK,1260.0,2.0,66.78,2
110,Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,3
111,Byatarayanapura,3 BHK,1413.0,2.0,75.0,3
112,Whitefield,2 BHK,1116.0,2.0,51.91,2
113,Electronic City,3 BHK,1530.0,2.0,45.9,3
114,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4
115,Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3
116,Kengeri,3 BHK,1540.0,2.0,64.0,3
117,Thanisandra,3 BHK,1436.0,3.0,74.75,3
118,Malleshwaram,2 BHK,1100.0,2.0,75.0,2
119,Hennur Road,2 Bedroom,276.0,3.0,23.0,2
120,Thanisandra,3 BHK,1427.0,3.0,120.0,3
121,Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3
122,Hebbal,4 BHK,5611.5,4.0,477.0,4
123,Shampura,4 BHK,2650.0,4.0,150.0,4
124,Devanahalli,3 BHK,1282.0,2.0,68.52,3
125,Kadugodi,2 BHK,1050.0,2.0,34.0,2
126,LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3
127,Vajarahalli,2 BHK,945.0,2.0,54.0,2
128,Hormavu,2 BHK,1500.0,2.0,78.0,2
129,Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7
130,Peenya,3 BHK,1870.0,3.0,110.0,3
131,Sarjapur,3 Bedroom,1600.0,3.0,75.0,3
132,Electronic City,2 BHK,880.0,1.0,16.5,2
133,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,210.0,4
134,Kudlu Gate,3 BHK,1535.0,3.0,83.0,3
135,Kanakpura Road,2 BHK,950.0,2.0,57.0,2
136,Devanahalli,2 BHK,1360.0,2.0,65.0,2
137,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2
138,Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3
139,Chandra Layout,3 BHK,1260.0,2.0,85.05,3
140,Hennur Road,8 Bedroom,5000.0,8.0,250.0,8
141,Yelahanka,5 BHK,3050.0,5.0,213.0,5
142,Kasavanhalli,3 BHK,1563.05,3.0,105.0,3
143,ISRO Layout,2 BHK,1000.0,2.0,60.0,2
144,Anandapura,2 BHK,1167.0,2.0,43.76,2
145,Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7
146,Kothanur,3 BHK,1828.0,3.0,110.0,3
147,Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2
148,Basavanapura,3 BHK,1612.0,3.0,46.74,3
149,Dinnur,6 Bedroom,1034.0,5.0,185.0,6
150,Mysore Road,3 BHK,1710.0,4.0,91.31,3
151,Kannamangala,2 BHK,957.0,2.0,58.0,2
152, Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3
153,Sanjeevini Nagar,3 BHK,2795.0,4.0,235.0,3
154,Hulimavu,2 BHK,1125.0,2.0,50.0,2
155,Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2
156,Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2
157,Thanisandra,3 BHK,1735.0,3.0,135.0,3
158,Thanisandra,3 BHK,2050.0,3.0,145.0,3
159,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4
160,Yarandahalli,3 BHK,1350.0,2.0,48.0,3
161,Hosa Road,2 BHK,1063.0,2.0,32.0,2
162,Keshava Nagar,3 BHK,1904.0,3.0,150.0,3
163,Whitefield,4 Bedroom,4200.0,4.0,420.0,4
164,RMV Extension,3 BHK,2000.0,3.0,175.0,3
165,Sarjapur,2 BHK,1242.5,2.0,43.49,2
166,Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3
167,Electronic City,3 BHK,1500.0,2.0,64.5,3
168,Electronic City,2 BHK,1060.0,2.0,60.0,2
169,Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3
170,Kothnur Narayanapura,6 BHK,1300.0,6.0,99.0,6
171,Attibele,1 BHK,450.0,1.0,11.0,1
172,Electronic City,2 BHK,1152.0,2.0,64.5,2
173,Electronic City,3 BHK,1350.0,2.0,56.0,3
174,CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3
175,CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,100.0,3
176,Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5
177,Nagavara,1 Bedroom,400.0,1.0,14.0,1
178,Malleshwaram,1 BHK,705.0,1.0,67.0,1
179,Electronic City,2 BHK,770.0,1.0,36.0,2
180,Hulimavu,2 BHK,1242.0,2.0,51.0,2
181,Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3
182,Thanisandra,3 BHK,2144.0,3.0,145.0,3
183,Vijayanagar,3 BHK,1704.0,3.0,110.0,3
184,Electronic City,2 BHK,1070.0,2.0,52.0,2
185,8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,3
186,Jakkuru Layout,2 BHK,1340.0,2.0,55.7,2
187,Electronic City,2 BHK,1025.0,2.0,46.0,2
188,KR Puram,2 BHK,1277.5,2.0,56.8,2
189,Marathahalli,2 BHK,1200.0,2.0,52.0,2
190,Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4
191,Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3
192,Bellandur,4 Bedroom,1200.0,5.0,325.0,4
193,Ejipura,7 Bedroom,1800.0,7.0,250.0,7
194,Marathahalli,2 BHK,1200.0,2.0,60.0,2
195,Yelahanka,2 BHK,1327.0,2.0,98.0,2
196,Kothanur,2 BHK,1186.0,2.0,58.0,2
197,MS Pallya,3 Bedroom,1783.0,3.0,115.0,3
198,HSR Layout,3 BHK,1400.0,3.0,56.0,3
199,Nagasandra,2 BHK,980.0,2.0,48.0,2
200,EPIP Zone,2 BHK,1285.0,2.0,82.0,2
201,Langford Town,3 BHK,912.0,2.0,70.0,3
202,Whitefield,2 BHK,1225.0,2.0,47.6,2
203,Whitefield,2 BHK,1075.0,2.0,53.0,2
204,Kadugodi,3 BHK,1260.0,2.0,54.0,3
205,Yelahanka,3 BHK,1282.0,2.0,48.7,3
206,Kogilu,3 BHK,1909.0,3.0,88.0,3
207,Panathur,2 BHK,1359.0,2.0,87.0,2
208,Nagondanahalli,2 BHK,1207.0,2.0,43.5,2
209,Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4
210,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4
211,Kammasandra,3 BHK,1595.0,3.0,65.0,3
212,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,89.0,3
213,Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3
214,Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3
215,Dasarahalli,2 BHK,1295.0,2.0,65.0,2
216,Magadi Road,6 Bedroom,3600.0,6.0,141.0,6
217,Electronic City,1 BHK,589.0,1.0,27.0,1
218,Ngef Layout,3 BHK,1415.0,3.0,78.0,3
219,Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3
